time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
6252.755164	234.985870	1.754294	-0.108409	139
6254.844337	234.783997	1.754721	-0.107728	141
6256.932699	234.683075	1.751446	-0.106782	143
6259.021475	234.487793	1.752769	-0.106099	145
6261.109763	234.311737	1.748471	-0.104567	147
6263.198126	234.242889	1.747313	-0.102988	149
6265.286356	234.190582	1.743665	-0.098184	151
6267.374397	234.019852	1.738590	-0.093367	153
6269.463613	234.072464	1.733834	-0.088070	155
6271.552913	234.116440	1.733407	-0.081456	157
6273.642459	234.080353	1.729915	-0.072187	159
6275.732208	234.062088	1.731307	-0.059214	161
6277.821899	234.121368	1.731751	-0.045545	163
6279.910893	234.042633	1.726386	-0.029782	165
6281.998650	233.802063	1.726445	-0.013537	167
6284.085264	233.743393	1.719393	-0.001147	169
6286.173507	233.618835	1.717157	0.008005	171
6288.261415	233.597778	1.714982	0.018873	173
6290.349454	233.576309	1.712443	0.026033	175
6292.438152	233.527222	1.708791	0.029406	177
6294.526768	233.553055	1.710344	0.032595	179
6296.615599	233.678162	1.704633	0.036424	181
6298.704639	233.458359	1.706914	0.037268	183
6300.793415	233.847397	1.701869	0.038068	185
6302.882698	233.857498	1.701122	0.037740	187
6304.971710	233.790421	1.699746	0.036867	189
6307.058939	233.948181	1.699287	0.039373	191
6309.146765	233.828705	1.697990	0.040369	193
6311.234490	233.909439	1.692485	0.041334	195
6313.323106	233.787689	1.692623	0.040467	197
6315.411304	234.002487	1.687123	0.042301	199
6317.500494	234.054565	1.686307	0.041563	201
6319.589573	233.926636	1.686848	0.042626	203
6321.678785	233.980270	1.681808	0.042956	205
6323.767639	233.878357	1.681684	0.043191	207
6325.856841	233.914261	1.679693	0.044208	209
6327.945742	233.969894	1.675833	0.044362	211
6330.034452	233.934998	1.675104	0.045307	213
6332.122810	233.911285	1.673779	0.045640	215
6334.211177	234.117935	1.669457	0.046398	217
6336.299422	234.130722	1.670267	0.047061	219
6338.387600	234.356110	1.665649	0.047633	221
6340.476109	234.520126	1.661769	0.047993	223
6342.564272	234.663422	1.659385	0.048719	225
6344.653224	234.770432	1.656265	0.049379	227
6346.742022	234.654404	1.654782	0.049718	229
6348.831504	234.642273	1.652162	0.050492	231
6350.920754	234.459579	1.653016	0.051572	233
6353.010233	234.507416	1.650602	0.051795	235
6355.099520	234.467819	1.650845	0.052221	237
6357.188423	234.466415	1.649895	0.053350	239
6359.277353	234.477493	1.646043	0.053558	241
6361.365864	234.497070	1.643825	0.053990	243
6363.454583	234.542374	1.641571	0.054621	245
6365.543207	234.593353	1.639418	0.054972	247
6367.631880	234.650070	1.636857	0.055279	249
6369.720768	234.705765	1.634482	0.055960	251
6371.809573	234.761154	1.631788	0.056648	253
6373.898323	234.853638	1.630346	0.057177	255
6375.986904	234.971802	1.630887	0.057968	1
6378.075152	235.015457	1.630944	0.058077	3
6380.163542	235.031036	1.630601	0.058697	5
6382.251473	235.104874	1.626672	0.059205	7
6384.339387	235.095413	1.624704	0.060223	9
6386.427268	235.235596	1.620248	0.060665	11
6388.515402	235.295929	1.618166	0.061303	13
6390.603872	235.407028	1.613573	0.062010	15
6392.692596	235.419617	1.612725	0.062223	17
6394.781340	235.435516	1.608724	0.062389	19
6396.870198	235.477234	1.606569	0.062830	21
6398.959095	235.425034	1.607417	0.063372	23
6401.047883	235.518478	1.604817	0.063816	25
6403.136404	235.470871	1.605560	0.064295	27
6405.225084	235.555832	1.601315	0.064632	29
6407.313553	235.618851	1.601273	0.064957	31
6409.401986	235.805786	1.598132	0.065485	33
6411.490317	235.886841	1.597032	0.066213	35
6413.578804	236.027618	1.595653	0.066850	37
6415.667115	236.167877	1.592024	0.067668	39
6417.755805	236.142029	1.590365	0.068182	41
6419.844758	236.210754	1.586678	0.068823	43
6421.933827	236.112534	1.586534	0.069233	45
6424.022916	236.045013	1.586104	0.069972	47
6426.112194	235.984177	1.583910	0.070698	49
6428.201374	236.000214	1.582173	0.071309	51
6430.290342	235.929153	1.581817	0.071779	53
6432.379202	235.997009	1.578564	0.072307	55
6434.467781	236.112808	1.576506	0.072618	57
6436.556126	236.106522	1.575246	0.073177	59
6438.644872	236.179871	1.573360	0.073715	61
6440.733618	236.230072	1.573043	0.074367	63
6442.822188	236.290207	1.571567	0.074615	65
6444.910653	236.350037	1.571669	0.075415	67
6446.999165	236.450302	1.571661	0.075847	69
6449.087504	236.481964	1.571270	0.076064	71
6451.175939	236.577759	1.569341	0.076602	73
6453.263867	236.639725	1.567338	0.076946	75
6455.351801	236.624786	1.564956	0.077306	77
6457.439877	236.783173	1.559572	0.077588	79
6459.527706	236.829819	1.558336	0.078009	81
6461.615495	237.005203	1.553573	0.078580	83
6463.703862	237.039673	1.550660	0.078885	85
6465.792401	237.224030	1.547431	0.079198	87
6467.880931	237.197357	1.548768	0.079873	89
6469.969354	237.284393	1.545968	0.080064	91
6472.058142	237.253006	1.544720	0.080349	93
6474.146917	237.344772	1.540217	0.080589	95
6476.235471	237.369965	1.537716	0.080791	97
6478.323718	237.489456	1.535324	0.081203	99
6480.412252	237.557068	1.535927	0.081813	101
6482.500709	237.692947	1.533419	0.082679	103
6484.589011	237.713943	1.534569	0.083096	105
6486.677353	237.908112	1.532650	0.083945	107
6488.766000	237.905609	1.530244	0.084336	109
6490.854630	237.923309	1.528480	0.084712	111
6492.943621	237.974579	1.525786	0.085527	113
6495.032266	237.890305	1.524074	0.085959	115
6497.121414	237.848282	1.524963	0.086537	117
6499.210308	237.842056	1.523332	0.086851	119
6501.299030	237.739029	1.522696	0.087337	121
6503.388108	237.818970	1.518552	0.087783	123
6505.476866	237.807999	1.519292	0.088504	125
6507.565653	237.947388	1.515736	0.088819	127
6509.654228	237.941223	1.515060	0.089164	129
6511.742713	238.015793	1.513450	0.089999	131
6513.831148	238.094742	1.512575	0.090432	133
6515.919331	238.162888	1.510857	0.091006	135
6518.007828	238.203857	1.509708	0.091264	137
6520.096165	238.372284	1.506400	0.091926	139
6522.184414	238.373993	1.507573	0.092269	141
6524.272468	238.492386	1.506208	0.092526	143
6526.360289	238.585968	1.504090	0.093115	145
6528.448315	238.715683	1.501385	0.093775	147
6530.536150	238.767380	1.496804	0.094082	149
6532.624011	238.906479	1.493701	0.094789	151
6534.712191	239.026352	1.490373	0.095025	153
6536.800452	239.093155	1.487868	0.095388	155
6538.888832	239.237656	1.484762	0.095725	157
6540.977211	239.297546	1.483816	0.095908	159
6543.065696	239.355911	1.483383	0.096270	161
6545.154284	239.437469	1.480853	0.096673	163
6547.242583	239.453247	1.480623	0.096979	165
6549.331146	239.603333	1.478163	0.097526	167
6551.419536	239.635757	1.479182	0.098105	169
6553.508019	239.706589	1.478582	0.098452	171
6555.596249	239.853577	1.474726	0.098978	173
6557.684685	239.910095	1.473856	0.099300	175
