crossing time (s)	slope (V/s)	crossing number
6253.802883	-17.323262	5516
6254.844534	-17.880901	5517
6255.892351	-17.719575	5518
6256.932894	-17.625045	5519
6257.979971	-17.338575	5520
6259.020785	-17.668056	5521
6260.070276	-17.416806	5522
6261.110972	-17.462098	5523
6262.160981	-17.410263	5524
6263.197595	-17.770733	5525
6264.250872	-17.364230	5526
6265.285788	-17.634453	5527
6266.338650	-17.213465	5528
6267.376121	-17.383819	5529
6268.428030	-16.937010	5530
6269.463873	-17.192147	5531
6270.517684	-17.297985	5532
6271.553305	-17.799437	5533
6272.606121	-17.433932	5534
6273.643339	-17.336629	5535
6274.692302	-16.931981	5536
6275.731262	-17.271867	5537
6276.781150	-16.926246	5538
6277.823315	-17.161552	5539
6278.868008	-16.631646	5540
6279.910811	-16.887466	5541
6280.958176	-16.443191	5542
6281.996241	-17.467032	5543
6283.045887	-16.881767	5544
6284.083296	-16.951988	5545
6285.132647	-17.103023	5546
6286.172372	-17.309422	5547
6287.223259	-16.621113	5548
6288.260678	-16.795964	5549
6289.308970	-16.957260	5550
6290.349116	-17.030953	5551
6291.399240	-16.713875	5552
6292.439186	-16.632930	5553
6293.488282	-16.880112	5554
6294.525586	-16.945010	5555
6295.575807	-16.837445	5556
6296.614566	-16.681849	5557
6297.663783	-16.988384	5558
6298.703354	-16.813957	5559
6299.752859	-16.725726	5560
6300.792899	-16.724316	5561
6301.839793	-16.930743	5562
6302.885665	-16.656917	5563
6303.930738	-16.584665	5564
6304.972239	-16.490755	5565
6306.019290	-16.654364	5566
6307.058373	-16.733153	5567
6308.108395	-16.817213	5568
6309.145322	-16.768050	5569
6310.198925	-16.574285	5570
6311.235872	-16.380125	5571
6312.287739	-16.677875	5572
6313.322300	-16.481849	5573
6314.376134	-16.478502	5574
6315.410289	-16.418770	5575
6316.466510	-16.566291	5576
6317.500418	-16.397393	5577
6318.553518	-16.299540	5578
6319.589185	-16.270007	5579
6320.642743	-16.417381	5580
6321.678523	-16.314671	5581
6322.731564	-16.534963	5582
6323.769302	-16.277074	5583
6324.819771	-16.290401	5584
6325.856307	-16.275836	5585
6326.907184	-16.350417	5586
6327.944998	-16.172432	5587
6328.996012	-16.126694	5588
6330.036162	-15.971788	5589
6331.086439	-16.162779	5590
6332.122434	-16.085649	5591
6333.173801	-16.163647	5592
6334.210971	-16.120809	5593
6335.262897	-16.221880	5594
6336.299630	-15.958707	5595
6337.353755	-15.944319	5596
6338.388073	-15.888294	5597
6339.441550	-16.025637	5598
6340.474843	-15.884833	5599
6341.530253	-15.993600	5600
6342.565566	-15.962521	5601
6343.620513	-15.899837	5602
6344.650940	-15.713262	5603
6345.708171	-15.938491	5604
6346.741352	-15.807291	5605
6347.797424	-15.850809	5606
6348.830323	-15.793986	5607
6349.884198	-15.931133	5608
6350.922281	-15.711188	5609
6351.971317	-15.756249	5610
6353.010200	-15.857444	5611
6354.059969	-15.713870	5612
6355.099154	-15.620513	5613
6356.150260	-15.784497	5614
6357.188952	-15.632675	5615
6358.238257	-15.693120	5616
6359.276366	-15.565402	5617
6360.325952	-15.714329	5618
6361.365413	-15.632748	5619
6362.414166	-15.478071	5620
6363.454637	-15.461654	5621
6364.504219	-15.583035	5622
6365.542753	-15.460320	5623
6366.592042	-15.282009	5624
6367.631236	-15.472002	5625
6368.681032	-15.438053	5626
6369.719291	-15.552974	5627
6370.769015	-15.156809	5628
6371.809979	-15.265647	5629
6372.857901	-15.477240	5630
6373.897719	-15.237402	5631
6374.947110	-15.415043	5632
6375.985747	-15.129875	5633
6377.034410	-15.372003	5634
6378.077190	-15.260323	5635
6379.123413	-15.333736	5636
6380.163767	-15.202128	5637
6381.213694	-15.242495	5638
6382.251052	-15.211303	5639
6383.302239	-15.136867	5640
6384.339060	-15.192539	5641
6385.391843	-15.218403	5642
6386.428032	-15.048695	5643
6387.481410	-15.118336	5644
6388.516203	-14.992015	5645
6389.569647	-14.893924	5646
6390.604565	-14.994027	5647
6391.658606	-15.030644	5648
6392.690759	-14.993201	5649
6393.748053	-15.084306	5650
6394.781098	-14.863532	5651
6395.836358	-14.889333	5652
6396.868994	-14.973782	5653
6397.924156	-14.955562	5654
6398.958351	-14.932672	5655
6400.011780	-15.047626	5656
6401.047396	-14.844809	5657
6402.101821	-14.896638	5658
6403.137444	-14.880807	5659
6404.189950	-14.822636	5660
6405.225592	-14.707684	5661
6406.277998	-14.742075	5662
6407.313325	-14.645853	5663
6408.367196	-14.774351	5664
6409.401781	-14.677514	5665
6410.456072	-14.754322	5666
6411.489789	-14.646858	5667
6412.545181	-14.665533	5668
6413.578039	-14.622998	5669
6414.634668	-14.725906	5670
6415.668241	-14.614798	5671
6416.722457	-14.676400	5672
6417.756259	-14.518210	5673
6418.809811	-14.503528	5674
6419.844972	-14.497374	5675
6420.897577	-14.610530	5676
6421.932126	-14.565886	5677
6422.987514	-14.521295	5678
6424.022895	-14.416148	5679
6425.077168	-14.455687	5680
6426.112096	-14.379717	5681
6427.162101	-14.459989	5682
6428.201130	-14.340214	5683
6429.249659	-14.465963	5684
6430.290294	-14.309583	5685
6431.339519	-14.455310	5686
6432.379079	-14.409544	5687
6433.428774	-14.350333	5688
6434.466592	-14.262599	5689
6435.515539	-14.327332	5690
6436.559067	-14.315558	5691
6437.603717	-14.282303	5692
6438.645285	-14.133870	5693
6439.692950	-14.296189	5694
6440.732011	-14.095576	5695
6441.781057	-14.245891	5696
6442.820668	-14.125908	5697
6443.870262	-14.248001	5698
6444.910468	-14.161636	5699
6445.958106	-14.189721	5700
6446.999924	-14.039687	5701
6448.048361	-14.127406	5702
6449.088230	-14.087368	5703
6450.135049	-14.018359	5704
6451.175014	-14.011978	5705
6452.224780	-14.120378	5706
